Codigo;Descricao;Codigo de Barras;Validade;Marca;Quantidade;P/Custo;QtdXCusto;Mês Atual
48560;PE*GEL SANITARIO SANILUX LAVANDA BETTANIN BT5940;9999900485608;50/12/20;BETTANIN;12;11,87;142,45;03/2026
TOTAL;-;-;-;-;12;11,87;142,45;03/2026
